,Variable Name,LB,UB
71,"network_latency[('sslateingress@POST@/singlecore#us_west_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')]",66.0,66.0
72,"network_latency[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')]",20.0,20.0
73,"network_latency[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')]",40.0,40.0
74,"network_latency[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",0.0,0.0
75,"network_latency[('sslateingress@POST@/singlecore#us_south_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')]",30.0,30.0
76,"network_latency[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_central_1#start')]",40.0,40.0
77,"network_latency[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_west_1#start')]",66.0,66.0
78,"network_latency[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_south_1#start')]",30.0,30.0
79,"network_latency[('sslateingress@POST@/singlecore#us_east_1#end',_'corecontrast@POST@/singlecore#us_east_1#start')]",0.0,0.0
80,"network_latency[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",0.0,0.0
81,"network_latency[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_west_1#start')]",30.0,30.0
82,"network_latency[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",20.0,20.0
83,"network_latency[('sslateingress@POST@/multicore#us_central_1#end',_'corecontrast@POST@/multicore#us_east_1#start')]",40.0,40.0
84,"network_latency[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",30.0,30.0
85,"network_latency[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_west_1#start')]",0.0,0.0
86,"network_latency[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",40.0,40.0
87,"network_latency[('sslateingress@POST@/multicore#us_west_1#end',_'corecontrast@POST@/multicore#us_east_1#start')]",66.0,66.0
88,"network_latency[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",20.0,20.0
89,"network_latency[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_west_1#start')]",40.0,40.0
90,"network_latency[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",0.0,0.0
91,"network_latency[('sslateingress@POST@/multicore#us_south_1#end',_'corecontrast@POST@/multicore#us_east_1#start')]",30.0,30.0
92,"network_latency[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_central_1#start')]",40.0,40.0
93,"network_latency[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_west_1#start')]",66.0,66.0
94,"network_latency[('sslateingress@POST@/multicore#us_east_1#end',_'corecontrast@POST@/multicore#us_south_1#start')]",30.0,30.0
