,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
95,us-west-1,sslateingress,POST,/multicore,3e6a22675a94b92d6e7ac2e644c9222c,6e7ac2e644c9222c,nan,0.0,17.0,17.0,3.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:112|
96,us-west-1,corecontrast,POST,/multicore,edeae5f1680cf866c0eed4b7c3b63691,af3cdf92087fb5f2,c0eed4b7c3b63691,2.0,16.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:84|
97,us-west-1,sslateingress,POST,/multicore,edeae5f1680cf866c0eed4b7c3b63691,c0eed4b7c3b63691,nan,0.0,17.0,17.0,3.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:128|
98,us-west-1,corecontrast,POST,/multicore,a370d45047763f7775ce88554ddca411,09154ad72099e756,75ce88554ddca411,1.0,20.0,19.0,19.0,19.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:128|
99,us-west-1,sslateingress,POST,/multicore,a370d45047763f7775ce88554ddca411,75ce88554ddca411,nan,0.0,21.0,21.0,2.0,21.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:100|
100,us-west-1,corecontrast,POST,/multicore,70cb0b3f5f35fea0b69b6f750734642f,f75bc5d4985aedef,b69b6f750734642f,2.0,23.0,21.0,21.0,21.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:140|
101,us-west-1,sslateingress,POST,/multicore,70cb0b3f5f35fea0b69b6f750734642f,b69b6f750734642f,nan,0.0,24.0,24.0,3.0,24.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
102,us-west-1,sslateingress,POST,/multicore,745149200c60bcb71cced9fc78461d2d,1cced9fc78461d2d,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:136|
103,us-west-1,corecontrast,POST,/multicore,745149200c60bcb71cced9fc78461d2d,45cf9312d7f3f8e2,1cced9fc78461d2d,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:84|
104,us-west-1,sslateingress,POST,/multicore,14fa22ce3df76e64862dec4b0c3b0835,862dec4b0c3b0835,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:140|
