,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
55,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,756261808d0c7722b7a23b93d363cd1a,cec71e378ab1bae4,095dd99765d2e8b0,91.0,92.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709539980|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:48|
56,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,86fd5ac85f909b8ee482f1b989a76e5d,4c1a7680c741865a,b68d7c9d48a6601b,328.0,339.0,11.0,11.0,11.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:18446744073709542328|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:488|
57,us-west-1,sslateingress,POST,/cart/checkout,86fd5ac85f909b8ee482f1b989a76e5d,e482f1b989a76e5d,nan,0.0,474.0,474.0,394.0,474.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:1296|
58,us-west-1,frontend,POST,/cart/checkout,86fd5ac85f909b8ee482f1b989a76e5d,b68d7c9d48a6601b,e482f1b989a76e5d,262.0,342.0,80.0,30.0,80.0,-1,frontend@POST@/cart/checkout:2|,frontend@POST@/cart/checkout:1080|
59,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,86fd5ac85f909b8ee482f1b989a76e5d,c952e3c05315d2d8,19185e61e8b9e5c5,314.0,316.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:18446744073709538511|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:656|
60,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,86fd5ac85f909b8ee482f1b989a76e5d,2ee0465f7b9382d3,19185e61e8b9e5c5,283.0,288.0,5.0,5.0,5.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:1072|
61,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,86fd5ac85f909b8ee482f1b989a76e5d,70b7be9b70016de8,19185e61e8b9e5c5,299.0,302.0,3.0,3.0,3.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:792|
62,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,86fd5ac85f909b8ee482f1b989a76e5d,19185e61e8b9e5c5,b68d7c9d48a6601b,280.0,319.0,39.0,35.0,39.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1080|
63,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,86fd5ac85f909b8ee482f1b989a76e5d,939a8d45826640d4,19185e61e8b9e5c5,309.0,310.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709538446|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:648|
64,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,ce2728b45873fca39059915916c26578,2634f3dc5c3a6a3a,55f8b86a25ae2b88,253.0,387.0,134.0,129.0,134.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:3|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1736|
65,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,ce2728b45873fca39059915916c26578,2eefced9b8766072,2634f3dc5c3a6a3a,354.0,359.0,5.0,5.0,5.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:1280|
66,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,ce2728b45873fca39059915916c26578,5d5a1c4e1ee6b553,2634f3dc5c3a6a3a,368.0,371.0,3.0,3.0,3.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709538196|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1032|
67,us-west-1,sslateingress,POST,/cart/checkout,ce2728b45873fca39059915916c26578,9059915916c26578,nan,0.0,581.0,581.0,370.0,581.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:2144|
68,us-west-1,frontend,POST,/cart/checkout,ce2728b45873fca39059915916c26578,55f8b86a25ae2b88,9059915916c26578,243.0,454.0,211.0,49.0,211.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:1720|
